# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:Q9VIE6	ENSEMBL:FBtr0081475|ENSEMBL:FBpp0081004|ENSEMBL:FBgn0032929	-	uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	physical association	reactome:R-DME-68560	24243840
uniprotkb:Q9VIE6	ENSEMBL:FBtr0081475|ENSEMBL:FBpp0081004|ENSEMBL:FBgn0032929	-	uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	physical association	reactome:R-DME-68560	24243840
uniprotkb:Q9VIE6	ENSEMBL:FBtr0081475|ENSEMBL:FBpp0081004|ENSEMBL:FBgn0032929	-	uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	physical association	reactome:R-DME-68560	24243840
uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	uniprotkb:Q9XYU1	ENSEMBL:FBtr0070762|ENSEMBL:FBpp0070729|ENSEMBL:FBgn0284442	-	physical association	reactome:R-DME-68558	24243840
uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	uniprotkb:Q9XYU1	ENSEMBL:FBtr0070762|ENSEMBL:FBpp0070729|ENSEMBL:FBgn0284442	-	physical association	reactome:R-DME-68558	24243840
uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	uniprotkb:Q9VGW6	ENSEMBL:FBtr0082279|ENSEMBL:FBpp0081756|ENSEMBL:FBgn0017577	-	physical association	reactome:R-DME-68558	24243840
uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	uniprotkb:Q9XYU1	ENSEMBL:FBtr0070762|ENSEMBL:FBpp0070729|ENSEMBL:FBgn0284442	-	physical association	reactome:R-DME-68558	24243840
uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	uniprotkb:Q9VGW6	ENSEMBL:FBtr0082279|ENSEMBL:FBpp0081756|ENSEMBL:FBgn0017577	-	physical association	reactome:R-DME-68558	24243840
uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	uniprotkb:Q9VGW6	ENSEMBL:FBtr0082279|ENSEMBL:FBpp0081756|ENSEMBL:FBgn0017577	-	physical association	reactome:R-DME-68558	24243840
uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	physical association	reactome:R-DME-9757255	24243840
