alternative_ids|id|source|source_url|synonyms|term_name
|UBERON_0001851|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""cortex"", ""cortex of organ""]"|cortex
|UBERON_0001831|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""glandula parotidea"", ""parotid""]"|parotid gland
|UBERON_3010653|UBERON|http://purl.obolibrary.org/obo/uberon.owl||ramus nasalis medialis
|UBERON_0011007|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""right auricle endocardium""]"|endocardium of right auricle
|UBERON_2001765|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""pectoral fin lepidotrichium 5"", ""pectoral fin ray 5""]"|pectoral fin ray 5
|UBERON_0035237|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""internal carotid arterial subdivision"", ""subdivision of internal carotid artery""]"|branch of internal carotid artery
|UBERON_2000116|UBERON|http://purl.obolibrary.org/obo/uberon.owl||macula lagena
|UBERON_0015169|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""tapetal layer"", ""tapetum layer""]"|tapetum
|UBERON_2000815|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""nucleus of MLF medulla"", ""nucleus of the medial longitudinal fasciculus medulla oblongata""]"|nucleus of medial longitudinal fasciculus of medulla
|UBERON_0001994|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""chondroid cartilage"", ""hyaline cartilage""]"|hyaline cartilage tissue
