id|label|source|source_url|synonyms|term_name
cl_0000038|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""BFU-E"", ""CFU-E"", ""blast forming unit erythroid"", ""burst forming unit erythroid"", ""colony forming unit erythroid"", ""erythroid stem cell""]"|erythroid progenitor cell
cl_0000764|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""erythropoietic cell""]"|erythroid lineage cell
cl_0000839|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||myeloid lineage restricted progenitor cell
cl_0000050|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""CFU-EM"", ""CFU-MegE"", ""MEP"", ""Meg/E progenitor"", ""colony forming unit erythroid megakaryocyte"", ""megakaryocyte/erythrocyte progenitor"", ""megakaryocyte/erythroid progenitor cell""]"|megakaryocyte-erythroid progenitor cell
cl_0000763|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||myeloid cell
cl_0002031|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||hematopoietic lineage restricted progenitor cell
cl_0002032|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||hematopoietic oligopotent progenitor cell
cl_0000557|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""CFU-GM"", ""GMP"", ""colony forming unit granulocyte macrophage"", ""granulocyte-macrophage progenitor"", ""granulocyte/monocyte precursor"", ""granulocyte/monocyte progenitor""]"|granulocyte monocyte progenitor cell
cl_0002009|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""MDP""]"|macrophage dendritic cell progenitor
cl_0000040|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""CFU-M"", ""colony forming unit macrophage"", ""colony forming unit monocyte"", ""monocyte stem cell""]"|monoblast
cl_0017503|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||basophilic cytoplasm
cl_0002194|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||monopoietic cell
cl_0000576|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||monocyte
cl_0000049|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""CFU-GEMM"", ""CFU-S"", ""CMP"", ""colony forming unit granulocyte, erythrocyte, macrophage, and megakaryocyte"", ""multipotential myeloid stem cell"", ""myeloid stem cell"", ""pluripotent stem cell (bone marrow)"", ""common myeloid precursor""]"|common myeloid progenitor
cl_0000041|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""mature eosinocyte"", ""mature eosinophil leucocyte"", ""mature eosinophil leukocyte""]"|mature eosinophil
cl_0000771|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""eosinocyte"", ""eosinophilic granulocyte"", ""eosinophilic leucocyte"", ""eosinophilic leukocyte""]"|eosinophil
cl_0000145|cl|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""APC""]"|professional antigen presenting cell
