Identifier	Name	GO_Term
R-HSA-9796346	MIB2 ubiquitinates RIPK1 at K377, K604, K634	GO:0004842
R-HSA-9796387	STUB1 ubiquitinates RIPK1 at K571, K604, K627	GO:0004842
R-HSA-9796626	MIB2 ubiquitinates CFLAR 	GO:0004842
R-HSA-9815507	MIB2 ubiquitinates CYLD at K338, K530	GO:0004842
R-HSA-9817362	SPATA2:CYLD-bound LUBAC ubiquitinates RIPK1 at K627 within the TNFR1 signaling complex	GO:0004842
R-HSA-9817400	CYLD hydrolyses K63polyUb on RIPK1 within the TNFR1 complex	GO:0061578
R-HSA-9817458	TET3 oxidizes 5-methylcytosine to 5-hydroxymethylcytosine in chromatin containing histone H3.3	GO:0070579
R-HSA-9817512	UNG (UNG2) and base excision repair remove uridine and 5-methylcytidine from chromatin containing histone H3.3	GO:0004844
R-HSA-9817513	AICDA deaminates cytidine in chromatin containing histone H3.3 and 5-methylcytidine	GO:0004126
R-HSA-9818975	CYLD hydrolyses M1polyUb on RIPK1 within the TNFR1 complex	GO:0061815
R-HSA-9822185	HIRA and NPM2 assemble H3.3-containing nucleosomes on paternal DNA	GO:0140713
R-HSA-9822311	CCR4-NOT deadenylates mRNA in CCR4-NOT:BTG4:PABPN1L:mRNP	GO:0004535
R-HSA-9822335	CCR4-NOT(CNOT6L) deadenylates mRNA in CCR4-NOT(CNOT6L):ZFP36L2:mRNA	GO:0004535
R-HSA-9822437	DIS3L2 hydrolyzes uridylated mRNA	GO:0000175
R-HSA-9822461	KDM5B demethylates histone H3 trimethyllysine-4 (H3K4me3)	GO:0032453
R-HSA-9822467	KDM5A demethylates histone H3 trimethyllysine-4 (H3K4me3)	GO:0032453
R-HSA-9822914	KDM6B (JMJD3) demethylates histone H3 trimethyllysine-27 (H3K27me3)	GO:0071558
R-HSA-9822985	KDM6A (UTX) demethylates histone H3 trimethyllysine-27 (H3K27me3)	GO:0071558
R-HSA-9825747	CREBBP acetylates HINT1 dimer	GO:0061733
R-HSA-9828639	Transcription of respiratory syncytial virus subgenomic positive sense mRNAs	GO:0003968
R-HSA-983140	Transfer of Ub from E2 to substrate and release of E2	GO:0004842
R-HSA-983150	Proteasomal cleavage of substrate	GO:0004175
R-HSA-983152	Transfer of ubiquitin from E1 to E2	GO:0043130
R-HSA-983153	E1 mediated ubiquitin activation	GO:0004842
R-HSA-983156	Polyubiquitination of substrate	GO:0004842
R-HSA-9833155	Ubiquitination of STAT2	GO:0004842
R-HSA-9833820	PKR dimer autophosphorylates	GO:0004672
R-HSA-9833973	ISGylation of PKR	GO:0061662
R-HSA-9834070	PRKN ubiquitinates MOM substrates	GO:0004842
R-HSA-9834736	Synthesis of antigenomic RNA of human respiratory syncytial virus	GO:0003968
R-HSA-9834809	SUMOylation of PKR	GO:0061665
R-HSA-9835885	p-PKR dimer phosphorylates eIF2-alpha	GO:0004672
R-HSA-9836159	p-PKR dimer phosphorylates DHX9	GO:0004672
R-HSA-9836184	p-PKR dimer phosphorylates CDK1	GO:0004672
R-HSA-9836322	p-PKR dimer phosphorylates MKK6	GO:0004672
R-HSA-9836362	p-PKR dimer phosphorylates TP53 tetramer	GO:0004672
R-HSA-9836383	p-PKR dimer phosphorylates ILF3:ILF2	GO:0004672
R-HSA-9836404	p-PKR dimer phosphorylates MAPT	GO:0004672
R-HSA-9836435	p-PKR dimer phosphorylates SNCA	GO:0004672
R-HSA-9836449	p-PKR dimer phosphorylates HIV tat	GO:0004672
R-HSA-9836515	p-PKR dimer phosphorylates PTPN2	GO:0004672
R-HSA-9836617	p-PKR dimer phosphorylates SPHK1	GO:0004672
R-HSA-9836664	p-PKR dimer phosphorylates PPP2R5A	GO:0004672
R-HSA-9838081	LONP1 degrades mitochondrial matrix proteins	GO:0004176
R-HSA-9842833	SETDB1 in ATF7IP:SETDB1:SUMO2-6K-TRIM28:KRAB-ZFP:retroelement trimethylates lysine-9 of histone H3 in nucleosomes	GO:0140938
R-HSA-9842868	TRIM28 in TRIM28:KRAB-ZFP:retroelement chromatin autoSUMOylates with SUMO2	GO:0061665
R-HSA-9843121	MLL4-ASCOM, (MLL3-ASCOM) complex monomethylates nucleosomes at PPARG:RXRA-bound enhancers	GO:0042800
R-HSA-9844006	SETDB1 in me3-K16-ATF7IP:SETDB1:MORC2:HUSH complex:L1 RNA trimethylates lysine-9 of histone H3 (H3K9me3)	GO:0140938
R-HSA-9844057	SETDB1 in me3-K16-ATF7IP:SETDB1:MORC2:HUSH complex:L1HS,L1PA2,3 heterochromatin trimethylates lysine-9 of histone H3 in adjacent nucleosome	GO:0140938
R-HSA-9845308	DNMT3A:DNMT3L in nascent RNA transcript:MeR-PIWIL4:2'-O-methyl-piRNA:SPOCD1:DNMT3A:DNMT3L methylates cytosine in DNA	GO:0051719
R-HSA-9855735	factor XII:polyanionic activator -> factor XIIa + polyanionic activator (autocatalysis)	GO:0004252
R-HSA-9861563	CTLH E3 ligase ubiquitinates LDHA	GO:0004842
R-HSA-9861640	CTLH E3 ligase ubiquitinates PKM-1	GO:0004842
R-HSA-990526	Recruitment of ITCH and K48 ubiquitination of MAVS	GO:0061630
R-HSA-9908101	Maturation of the canonical 20S core particle	GO:0004175
R-HSA-9908105	Maturation of the 20S immunoproteasome core particle	GO:0004175
R-HSA-9908108	Maturation of the 20S thymoproteasome core particle	GO:0004175
R-HSA-9908780	Maturation of the preholospermatoproteasome	GO:0004175
R-HSA-9909369	CSNK1E,CSNK1D phosphorylate CRY and PER proteins	GO:0004674
R-HSA-9909628	Trimethylation of CD274 gene chromatin by MLL1/3 complex	GO:0042800
R-HSA-9909631	Trimethylation of CD274 gene promoter by EZH2	GO:0046976
R-HSA-9912636	Proteasomal cleavage of intracellular substrate (PA28-alpha-beta-20S proteasome catalyst)	GO:0004175
R-HSA-9912655	Proteasomal cleavage of intracellular substrate (immunoproteasome catalyst)	GO:0004175
R-HSA-9912747	Proteasomal clevage of exogenous antigen (immunoproteasome catalyst)	GO:0004175
R-HSA-9912751	Proteasomal cleavage of partially digested antigen (immunoproteasome catalyst)	GO:0004175
R-HSA-9919011	Pre-NS1 folds and is N-glycosylated	GO:0004579
R-HSA-9920716	CLOCK acetylates BMAL1 on lysine-538	GO:0061733
R-HSA-9922273	CSNK1D,E phosphorylates CLOCK in p-S-CRY:p-S-PER:CSNK1D,E:p-S90,Ac-538-BMAL:p-2T,3S-CLOCK:target gene	GO:0004674
R-HSA-9926482	CREBBP, EP300 acetylate MITF-M	GO:0004402
R-HSA-9929350	Ubiquitination of CD274 by BTRC-SCF E3-ligase complex	GO:0004842
R-HSA-9929352	Ubiquitinated CD274 is degraded by the 26S proteasome	GO:0004175
R-HSA-9929353	Deubiquitination of CD274	GO:0101005
R-HSA-9929486	SPOP-mediated degradation of CD274 by 26S Proteosome	GO:0004175
R-HSA-9929490	CD274 ubiquitination by SPOP:CUL3:RBX1 complex	GO:0061630
R-HSA-9929884	CCNA:CDK1 phosphorylates HJURP	GO:0004693
R-HSA-9931298	Ubiquitination of CD274 by ERAD complex	GO:0061630
R-HSA-9931314	Proteasomal degradation of polyUb-p-S195-CD274	GO:0004175
R-HSA-9931430	MIB2-mediated K63-ubiquitination of CD274	GO:0061630
R-HSA-9932510	BTRC:CUL1:SKP1:RBX1 (SCF-beta-TrCP1) ubiquitinylates phosphorylated PER1,2,3	GO:0061630
R-HSA-9932512	FBXL3:CUL1:SKP1:RBX1 ubiquitinylates phosphorylated CRY1,2	GO:0061630
R-HSA-9934753	CBLL1 ubiquitinates CDH1	GO:0004842
R-HSA-9934884	Proteolysis of K48polyUb,p-S-CRY1,2	GO:0004175
R-HSA-9934887	Proteolysis of K48polyUb-K107,p-S-CRY1,K48polyUb-K126,p-S-CRY2	GO:0004175
R-HSA-9934893	Proteolysis of K48polyUb-K,p-S-PER1,2,3	GO:0004175
R-HSA-9937719	ICT1 hydrolyzes the peptidyl-tRNA bond of the nascent polypeptide	GO:0004045
R-HSA-9940470	GATAD2A is SUMOylated	GO:0019789
R-HSA-9941704	NuRD deacetylates telomeric nucleosomes	GO:0004407
R-HSA-9943614	CHD2-dependent H3.3 deposition at MYOG gene	GO:0016887
R-HSA-9944087	CHD6-9-dependent ATP hydrolysis	GO:0016887
R-HSA-9944091	NuRD hydrolyzes ATP to affect nucleosome organization	GO:0016887
R-HSA-9944092	NuRD deacetylates nucleosomes	GO:0004407
R-HSA-9945766	NS3 is ubiquitinated	GO:0061630
R-HSA-9946390	NS1 dimer is ubiquitinated	GO:0061630
R-HSA-9948300	RQT complex:K63polyUb-80S ribosome dissociates yielding K63polyUb-40S subunit and 60S subunit:peptidyl-tRNA with nascent peptide	GO:0016887
R-HSA-9948301	ZNF598 K63 polyubiquitinates RPS10 (eS10) and RPS20 (uS10) of the 40S ribosomal subunit	GO:0004842
R-HSA-9948362	LTN1 K48 polyubiquitinates the nascent peptide in NEMF:60S ribosomal subunit:peptidyl-tRNA with nascent peptide	GO:0061630
R-HSA-9948427	ANKZF1 cleaves the peptidyl-tRNA in VCP hexamer:LTN1:NEMF:60S ribosome subunit:peptidyl-tRNA with K48polyUb-nascent peptide	GO:0004521
R-HSA-9949632	VCP hexamer extracts K48 polyubiquitinated alanine-tailed nascent peptide from VCP hexamer:UFD1:NPLOC4:LTN1:NEMF:TCF25:60S ribosome subunit:K48polyUb-nascent peptide	GO:0016887
R-HSA-9949676	The proteasome degrades the alanine-tailed K48-polyUb nascent peptide bound to LTN1:NEMF:TCF25:VCP hexamer	GO:0004175
R-HSA-9954721	NEDD8-K699-CUL2:ELOB:ELOC:RBX1:KLHDC10 K48 polyubiquitinates alanine-tailed nascent peptide	GO:0004842
R-HSA-9954728	The proteasome degrades the K48-polyubiquitinated alanine-tailed nascent peptide	GO:0004175
R-HSA-9954737	RCHY1 K48 polyubiquitinates alanine-tailed nascent peptide	GO:0061630
R-HSA-9954919	ABCE1:ATP binds PELO:HBS1L-1:GTP:80S ribosome:non-stop mRNA:peptidyl-tRNA with nascent peptide and HBS1L-1:GDP is released	GO:0003924
R-HSA-9955146	S.flexneri ipaH9.8 ubiquitinates GBPs	GO:0004842
R-HSA-9955731	ABCE1:PELO:80S Ribosome:non-stop mRNA:peptidyl-tRNA with elongating peptide dissociates yielding ABCE1:40S ribosomal subunit, PELO, and 60S ribosomal subunit:peptidyl-tRNA with nascent peptide	GO:0016887
R-HSA-9958873	Cell-to-cell contact through homophilic cadherin interactions inhibits RAC1/CDC42 ubiquitination	GO:0004842
R-HSA-9958874	26S proteasome degrades ubiquitinated RAC1, CDC42	GO:0004175
R-HSA-9970189	PABPN1-stimulated PAPOL synthesizes polyA tail at distal 3'UTR PAS	GO:1990817
R-HSA-9970190	PP1 dephosphorylates RNA Pol II	GO:0004722
R-HSA-9970191	RBBP6 activates CPSF complex	GO:0004842
R-HSA-9970193	CPSF3 cleaves pre-mRNA at distal 3'UTR PAS	GO:0004519
R-HSA-9970282	U1 snRNP suppresses CPSF3-mediated pre-mRNA cleavage at intronic PAS	GO:0004519
R-HSA-9970294	CPSF3 cleaves pre-mRNA at proximal 3'UTR PAS	GO:0004519
R-HSA-9970318	PABPN1-stimulated PAPOL synthesizes polyA tail at proximal 3'UTR PAS	GO:1990817
R-HSA-9970320	PABPN1-stimulated PAPOL synthesizes polyA tail at intronic PAS	GO:1990817
