# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01116	ENSEMBL:ENSG00000133703|ENSEMBL:ENSP00000256078|ENSEMBL:ENSP00000508921|ENSEMBL:ENSP00000509238|ENSEMBL:ENSP00000308495|ENSEMBL:ENST00000311936|ENSEMBL:ENST00000685328|ENSEMBL:ENST00000688940|ENSEMBL:ENST00000256078	-	enzymatic reaction	reactome:R-HSA-5637808	8530489
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01111	ENSEMBL:ENSG00000213281|ENSEMBL:ENST00000369535|ENSEMBL:ENSP00000358548	-	enzymatic reaction	reactome:R-HSA-5637808	8530489
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01112	ENSEMBL:ENSG00000276536|ENSEMBL:ENST00000616241|ENSEMBL:ENST00000311189|ENSEMBL:ENST00000610977|ENSEMBL:ENST00000451590|ENSEMBL:ENST00000417302|ENSEMBL:ENST00000631404|ENSEMBL:ENST00000397596|ENSEMBL:ENST00000615062|ENSEMBL:ENST00000631967|ENSEMBL:ENST00000397594|ENSEMBL:ENST00000634098|ENSEMBL:ENST00000493230|ENSEMBL:ENSP00000480317|ENSEMBL:ENSP00000380723|ENSEMBL:ENSP00000388246|ENSEMBL:ENSP00000488296|ENSEMBL:ENSP00000407586|ENSEMBL:ENSP00000380722|ENSEMBL:ENSP00000488225|ENSEMBL:ENSP00000480686|ENSEMBL:ENSP00000488757|ENSEMBL:ENSP00000482366|ENSEMBL:ENSP00000309845|ENSEMBL:ENSP00000434023|ENSEMBL:ENSG00000174775	-	enzymatic reaction	reactome:R-HSA-5637808	8530489
uniprotkb:Q9H6I2	ENSEMBL:ENST00000297316|ENSEMBL:ENSP00000297316|ENSEMBL:ENSG00000164736	-	reactome:R-HSA-9827876	ENSEMBL:ENSG00000057657	-	physical association	reactome:R-HSA-9827882	28985527|35411086
uniprotkb:Q92754	ENSEMBL:ENST00000201031|ENSEMBL:ENSP00000201031|ENSEMBL:ENSG00000087510	-	reactome:R-HSA-9827876	ENSEMBL:ENSG00000057657	-	physical association	reactome:R-HSA-9827882	28985527|35411086
uniprotkb:Q92754	ENSEMBL:ENST00000201031|ENSEMBL:ENSP00000201031|ENSEMBL:ENSG00000087510	-	uniprotkb:O75626	ENSEMBL:ENST00000369089|ENSEMBL:ENST00000369096|ENSEMBL:ENST00000651185|ENSEMBL:ENST00000652320|ENSEMBL:ENST00000369091|ENSEMBL:ENSP00000358092|ENSEMBL:ENSP00000358085|ENSEMBL:ENSP00000498580|ENSEMBL:ENSP00000498716|ENSEMBL:ENSP00000358087|ENSEMBL:ENSG00000057657	-	physical association	reactome:R-HSA-9828027	35411086
uniprotkb:Q9H6I2	ENSEMBL:ENST00000297316|ENSEMBL:ENSP00000297316|ENSEMBL:ENSG00000164736	-	uniprotkb:O75626	ENSEMBL:ENST00000369089|ENSEMBL:ENST00000369096|ENSEMBL:ENST00000651185|ENSEMBL:ENST00000652320|ENSEMBL:ENST00000369091|ENSEMBL:ENSP00000358092|ENSEMBL:ENSP00000358085|ENSEMBL:ENSP00000498580|ENSEMBL:ENSP00000498716|ENSEMBL:ENSP00000358087|ENSEMBL:ENSG00000057657	-	physical association	reactome:R-HSA-9828027	35411086
reactome:R-HSA-9828019	ENSEMBL:ENSG00000187556	-	uniprotkb:O75626	ENSEMBL:ENST00000369089|ENSEMBL:ENST00000369096|ENSEMBL:ENST00000651185|ENSEMBL:ENST00000652320|ENSEMBL:ENST00000369091|ENSEMBL:ENSP00000358092|ENSEMBL:ENSP00000358085|ENSEMBL:ENSP00000498580|ENSEMBL:ENSP00000498716|ENSEMBL:ENSP00000358087|ENSEMBL:ENSG00000057657	-	physical association	reactome:R-HSA-9828027	35411086
uniprotkb:P19525	ENSEMBL:ENSG00000055332|ENSEMBL:ENST00000395127|ENSEMBL:ENST00000405334|ENSEMBL:ENST00000233057|ENSEMBL:ENST00000681507|ENSEMBL:ENST00000681463|ENSEMBL:ENST00000679507|ENSEMBL:ENST00000647926|ENSEMBL:ENSP00000378559|ENSEMBL:ENSP00000233057|ENSEMBL:ENSP00000385014|ENSEMBL:ENSP00000505138|ENSEMBL:ENSP00000497534|ENSEMBL:ENSP00000506024|ENSEMBL:ENSP00000505772	-	uniprotkb:Q9NYA1	ENSEMBL:ENSG00000176170|ENSEMBL:ENSP00000313681|ENSEMBL:ENSP00000468547|ENSEMBL:ENSP00000465726|ENSEMBL:ENSP00000440970|ENSEMBL:ENSP00000376285|ENSEMBL:ENST00000590959|ENSEMBL:ENST00000323374|ENSEMBL:ENST00000545180|ENSEMBL:ENST00000592299|ENSEMBL:ENST00000392496	-	physical association	reactome:R-HSA-9836606	32801355
uniprotkb:O00231	ENSEMBL:ENSG00000108671|ENSEMBL:ENST00000649012|ENSEMBL:ENST00000261712|ENSEMBL:ENST00000457654|ENSEMBL:ENSP00000497128|ENSEMBL:ENSP00000393185|ENSEMBL:ENSP00000261712	-	uniprotkb:Q13618	ENSEMBL:ENSP00000387200|ENSEMBL:ENST00000264414|ENSEMBL:ENST00000344951|ENSEMBL:ENST00000409096|ENSEMBL:ENST00000409777|ENSEMBL:ENSP00000264414|ENSEMBL:ENSG00000036257|ENSEMBL:ENSP00000386525|ENSEMBL:ENSP00000343601	-	cleavage reaction	reactome:R-HSA-9929486	36198437|29160310
