# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	physical association	reactome:R-CEL-9918356	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	reactome:R-CEL-8866665	-	-	physical association	reactome:R-CEL-9918356	24243840
uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	physical association	reactome:R-CEL-9918356	24243840
uniprotkb:Q19324	ENSEMBL:F10G7.8.1|ENSEMBL:F10G7.8.2|ENSEMBL:F10G7.8.1|ENSEMBL:F10G7.8.2|ENSEMBL:WBGene00004461	-	uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	physical association	reactome:R-CEL-9918356	24243840
uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	reactome:R-CEL-8866674	-	-	physical association	reactome:R-CEL-9908004	24243840
uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	physical association	reactome:R-CEL-9908004	24243840
uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	reactome:R-CEL-8866674	-	-	physical association	reactome:R-CEL-9908004	24243840
reactome:R-CEL-8866665	-	-	uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	physical association	reactome:R-CEL-9918363	24243840
uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	reactome:R-CEL-8866665	-	-	physical association	reactome:R-CEL-9918363	24243840
uniprotkb:Q20585	ENSEMBL:F49C12.8.2|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.1|ENSEMBL:F49C12.8.2|ENSEMBL:WBGene00004463	-	uniprotkb:Q04908	ENSEMBL:C30C11.2.1|ENSEMBL:C30C11.2.1|ENSEMBL:WBGene00004460	-	physical association	reactome:R-CEL-9918363	24243840
