# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:Q4VA53	ENSEMBL:ENSMUST00000016569|ENSEMBL:ENSMUST00000110486|ENSEMBL:ENSMUST00000202170|ENSEMBL:ENSMUSP00000144572|ENSEMBL:ENSMUSP00000106112|ENSEMBL:ENSMUSP00000016569|ENSEMBL:ENSMUSG00000034021	-	uniprotkb:Q9CPY3	ENSEMBL:ENSMUST00000025704|ENSEMBL:ENSMUSP00000025704|ENSEMBL:ENSMUSG00000024791	-	physical association	reactome:R-MMU-2484814	24243840
uniprotkb:Q6A026	-	-	uniprotkb:Q9CPY3	ENSEMBL:ENSMUST00000025704|ENSEMBL:ENSMUSP00000025704|ENSEMBL:ENSMUSG00000024791	-	physical association	reactome:R-MMU-2484814	24243840
uniprotkb:P63166	ENSEMBL:ENSMUST00000091374|ENSEMBL:ENSMUSP00000088935|ENSEMBL:ENSMUSG00000026021	-	uniprotkb:P42225	-	-	physical association	reactome:R-MMU-877297	24243840
uniprotkb:P63166	ENSEMBL:ENSMUST00000091374|ENSEMBL:ENSMUSP00000088935|ENSEMBL:ENSMUSG00000026021	-	uniprotkb:O88907	ENSEMBL:ENSMUST00000098651|ENSEMBL:ENSMUSP00000096248|ENSEMBL:ENSMUSG00000032405	-	physical association	reactome:R-MMU-877297	24243840
uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	uniprotkb:P25322	ENSEMBL:ENSMUST00000093962|ENSEMBL:ENSMUSP00000091495|ENSEMBL:ENSMUSG00000070348	-	physical association	reactome:R-MMU-8942837	24243840
uniprotkb:P46414	ENSEMBL:ENSMUST00000003115|ENSEMBL:ENSMUST00000204807|ENSEMBL:ENSMUST00000067327|ENSEMBL:ENSMUSP00000003115|ENSEMBL:ENSMUSP00000145056|ENSEMBL:ENSMUSP00000065832|ENSEMBL:ENSMUSG00000003031	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-8949895	24243840
uniprotkb:P39689	ENSEMBL:ENSMUST00000122348|ENSEMBL:ENSMUST00000119901|ENSEMBL:ENSMUST00000233296|ENSEMBL:ENSMUST00000023829|ENSEMBL:ENSMUSP00000112411|ENSEMBL:ENSMUSP00000023829|ENSEMBL:ENSMUSP00000113150|ENSEMBL:ENSMUSP00000156559|ENSEMBL:ENSMUSG00000023067	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-8949895	24243840
uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	uniprotkb:P46414	ENSEMBL:ENSMUST00000003115|ENSEMBL:ENSMUST00000204807|ENSEMBL:ENSMUST00000067327|ENSEMBL:ENSMUSP00000003115|ENSEMBL:ENSMUSP00000145056|ENSEMBL:ENSMUSP00000065832|ENSEMBL:ENSMUSG00000003031	-	physical association	reactome:R-MMU-8949894	24243840
uniprotkb:P25322	ENSEMBL:ENSMUST00000093962|ENSEMBL:ENSMUSP00000091495|ENSEMBL:ENSMUSG00000070348	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9755187	24243840
uniprotkb:P30280	ENSEMBL:ENSMUST00000000188|ENSEMBL:ENSMUSP00000000188|ENSEMBL:ENSMUSG00000000184	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9755188	24243840
uniprotkb:P30282	ENSEMBL:ENSMUST00000183177|ENSEMBL:ENSMUST00000182209|ENSEMBL:ENSMUST00000037333|ENSEMBL:ENSMUST00000171031|ENSEMBL:ENSMUST00000183044|ENSEMBL:ENSMUSP00000138640|ENSEMBL:ENSMUSP00000138220|ENSEMBL:ENSMUSP00000040488|ENSEMBL:ENSMUSP00000126141|ENSEMBL:ENSMUSP00000138091|ENSEMBL:ENSMUSG00000034165	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9755184	24243840
reactome:R-ALL-9754453	-	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9756828	24243840
reactome:R-ALL-9754472	-	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9756828	24243840
reactome:R-ALL-9754143	-	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9756828	24243840
reactome:R-ALL-9754456	-	-	uniprotkb:P30285	ENSEMBL:ENSMUST00000006911|ENSEMBL:ENSMUSP00000006911|ENSEMBL:ENSMUSG00000006728	-	physical association	reactome:R-MMU-9756828	24243840
